Date,Open,High,Low,Close,Adj Close,Volume
2014-08-07,65.750000,65.900002,65.400002,65.699997,56.268410,5990000
2014-08-08,65.449997,65.699997,65.050003,65.699997,56.268410,14238000
2014-08-11,66.000000,66.150002,65.750000,66.050003,56.568169,8071000
2014-08-12,66.000000,66.300003,65.849998,66.099998,56.610985,4354000
2014-08-13,66.150002,66.750000,66.050003,66.750000,57.167675,5189000
2014-08-14,67.000000,67.250000,66.949997,67.099998,57.467426,5964000
2014-08-15,67.099998,67.250000,66.750000,67.099998,57.467426,3883000
2014-08-18,67.099998,67.099998,66.599998,66.900002,57.296146,2411000
2014-08-19,67.300003,67.750000,67.000000,67.750000,58.024117,6633000
2014-08-20,67.699997,68.050003,67.699997,68.000000,58.238232,8450000
2014-08-21,68.000000,68.099998,67.800003,67.900002,58.152588,3043000
2014-08-22,68.099998,68.949997,68.099998,68.750000,58.880566,7520000
2014-08-25,68.750000,68.900002,68.599998,68.650002,58.794918,2943000
2014-08-26,68.599998,68.800003,68.550003,68.599998,58.752098,1728000
2014-08-27,68.949997,69.400002,68.949997,69.250000,59.308781,7577000
2014-08-28,69.250000,69.449997,69.199997,69.349998,59.394424,3864000
2014-08-29,69.050003,69.300003,68.849998,69.199997,59.265957,2404000
2014-09-01,69.250000,69.949997,69.250000,69.800003,59.779835,5257000
2014-09-02,69.699997,69.699997,68.599998,68.750000,58.880566,17711000
2014-09-03,68.900002,69.449997,68.849998,69.250000,59.308781,6859000
2014-09-04,69.000000,69.150002,68.800003,69.000000,59.094677,5373000
2014-09-05,69.300003,69.300003,68.650002,69.000000,59.094677,7386000
2014-09-09,69.400002,69.500000,69.250000,69.250000,59.308781,7405000
2014-09-10,68.949997,68.949997,68.050003,68.650002,58.794918,17836000
2014-09-11,68.699997,68.699997,68.400002,68.400002,58.580814,8664000
2014-09-12,68.400002,68.400002,67.599998,67.750000,58.024117,19493000
2014-09-15,67.150002,67.750000,67.150002,67.750000,58.024117,13108000
2014-09-16,67.650002,67.650002,67.150002,67.199997,57.553070,17987000
2014-09-17,67.500000,68.199997,67.449997,67.699997,57.981300,16509000
2014-09-18,67.699997,68.050003,67.599998,67.849998,58.109760,16226000
2014-09-19,68.199997,68.250000,67.849998,68.000000,58.238232,12106000
2014-09-22,67.349998,67.349998,66.550003,66.949997,57.338963,27031000
2014-09-23,66.900002,67.000000,66.650002,66.800003,57.210503,14754000
2014-09-24,66.550003,66.800003,66.300003,66.550003,56.996391,25167000
2014-09-25,66.699997,66.849998,65.699997,65.949997,56.482521,23032000
2014-09-26,65.500000,65.849998,65.250000,65.599998,56.182766,23158000
2014-09-29,65.650002,65.699997,65.199997,65.400002,56.011475,17132000
2014-09-30,65.300003,65.650002,64.650002,65.300003,55.925835,20630000
2014-10-01,65.050003,65.650002,64.849998,65.500000,56.097118,17471000
2014-10-02,65.000000,65.750000,64.900002,65.500000,56.097118,11479000
2014-10-03,65.800003,66.699997,65.599998,66.699997,57.124851,16216000
2014-10-06,66.650002,66.699997,66.150002,66.650002,57.082035,6616000
